uid,Velocity_3mon_ClkNum_per_uid,Velocity_3mon_pid_per_uid,Velocity_3mon_pidParam_per_uid,Velocity_LtoN_intervalPerClk_per_uid,Velocity_3mon_uMax_upid_per_uid,Velocity_3mon_Max_pid_per_uid,Velocity_3mon_uMax_upidParam_per_uid,Velocity_3mon_Max_pidParam_per_uid,Velocity_EtoNavg_intervalPerClk_per_uid
1,73,5,5,42,0.7808,0.2178,0.7808,0.0294,79.6712
4,120,8,20,30,0.4417,0.0727,0.3583,0.0222,84.4
5,9,4,4,63,0.4444,0.0189,0.4444,0.0021,65.8889
6,154,5,10,30,0.9286,0.674,0.5974,0.0474,75.8701
7,59,5,7,53,0.6949,0.1729,0.5085,0.0155,91.4746
8,240,8,20,36,0.6375,0.2098,0.2542,0.0314,85.0417
9,22,8,8,31,0.4091,0.0123,0.2273,0.0026,75.4091
11,7,3,2,61,0.7143,0.0236,0.8571,0.0031,68.4286
14,132,5,9,34,0.553,0.1001,0.3864,0.0263,86.2955
16,48,6,8,43,0.2708,0.0539,0.2917,0.0072,96.375
17,38,5,10,31,0.5789,0.1037,0.3421,0.0067,81.2632
18,2,2,2,36,0.5,0.0006,0.5,0.0005,56.5
20,41,4,4,33,0.6585,0.1273,0.6098,0.0129,84.7805
22,384,9,17,30,0.4479,0.2359,0.4609,0.0912,73.5521
23,265,9,20,31,0.434,0.1577,0.2868,0.0392,77.1283
24,182,8,14,31,0.7912,0.6074,0.3901,0.0366,76.5989
25,359,10,19,30,0.4624,0.2276,0.3315,0.0613,77.4903
26,273,10,21,31,0.359,0.1344,0.359,0.0505,56.2198
27,48,8,14,43,0.3958,0.0261,0.1458,0.0036,83.0417
28,49,3,5,48,0.898,0.2074,0.4694,0.0119,78.9184
30,79,4,7,32,0.8228,0.1711,0.3165,0.0129,72.6709
31,65,5,7,35,0.8462,0.232,0.8,0.0268,75.6923
32,113,9,16,39,0.3805,0.059,0.3363,0.0196,73.1947
33,3,1,2,89,1,0.0007,0.6667,0.0015,89
35,77,6,11,34,0.4675,0.0494,0.3117,0.0124,82.013
37,30,5,5,78,0.7,0.0288,0.5667,0.0088,99.2333
39,232,8,22,36,0.6422,0.2043,0.3276,0.0392,70.0129
40,7,3,5,89,0.7143,0.0191,0.2857,0.001,102.4286
41,241,8,16,30,0.5519,0.1824,0.3734,0.0464,72.4108
42,34,4,9,47,0.6176,0.0871,0.2941,0.0052,84.8824
43,103,7,13,30,0.466,0.2025,0.5049,0.0268,57.8738
45,114,6,15,35,0.4912,0.0768,0.4825,0.0283,68.3684
46,36,4,11,36,0.7778,0.107,0.3056,0.0057,62.5556
47,49,6,8,30,0.5102,0.1178,0.4082,0.0103,76.1224
48,51,5,8,33,0.4902,0.1055,0.4314,0.0113,63.5882
49,61,7,12,40,0.6393,0.0535,0.4426,0.0139,82.9016
50,263,9,22,30,0.4373,0.1577,0.4715,0.0639,65.7186
51,423,9,17,31,0.6005,0.3483,0.3073,0.067,78.9385
52,262,9,18,30,0.3855,0.426,0.2595,0.035,72.1565
53,18,3,5,42,0.6667,0.0458,0.3889,0.0036,74.6667
54,11,4,5,47,0.5455,0.0229,0.3636,0.0021,64.8182
55,36,5,9,42,0.5,0.0759,0.4167,0.0077,75
56,60,5,13,38,0.4667,0.0384,0.3833,0.0119,77.1667
57,523,9,19,30,0.392,0.8647,0.3327,0.0897,71.4704
58,48,6,14,49,0.375,0.0759,0.2083,0.0052,58.3958
59,35,4,7,34,0.3429,0.042,0.3143,0.0057,62.8571
60,11,5,7,38,0.5455,0.0229,0.2727,0.0015,64.0909
61,2,2,2,43,0.5,0.0041,0.5,0.0161,68
62,1,1,1,92,1,0.0006,1,0.0005,92
63,148,9,15,30,0.8784,0.1783,0.2973,0.0227,89.1351
64,86,5,7,46,0.9302,0.1097,0.8605,0.0381,74.8023
