uid,age,sex,limit,User_age_range,User_interdate
26308,30,1,5.974677085876465,2,288
78209,40,1,5.292153835296631,4,283
51930,35,1,6.292054653167725,3,225
10113,25,1,6.292054653167725,1,263
17067,35,1,5.974677085876465,3,288
46744,35,1,5.974677085876465,3,349
31747,30,2,6.292054653167725,2,291
48366,30,2,5.974677085876465,2,307
49725,35,1,5.292153835296631,3,307
31333,35,1,6.292054653167725,3,197
87746,30,1,5.974677085876465,2,208
51229,35,1,5.722768306732178,3,189
18211,35,2,5.292153835296631,3,265
21994,30,1,5.722768306732178,2,329
61139,35,1,6.292054653167725,3,218
2967,25,1,6.292054653167725,1,317
47349,40,1,6.292054653167725,4,307
44467,35,2,5.292153835296631,3,251
20195,25,1,5.722768306732178,1,162
3113,30,2,5.974677085876465,2,342
72060,25,1,6.153413772583008,1,211
9329,40,1,5.292153835296631,4,250
73019,25,2,6.292054653167725,1,166
56754,30,1,6.292054653167725,2,166
57116,40,2,6.292054653167725,4,238
42194,30,1,6.292054653167725,2,207
90012,25,1,5.974677085876465,1,291
55859,30,1,6.292054653167725,2,155
27555,30,1,6.292054653167725,2,188
24650,30,1,6.292054653167725,2,220
45006,45,1,5.974677085876465,4,229
73677,30,2,5.974677085876465,2,336
51982,30,1,5.292153835296631,2,194
57983,25,1,5.292153835296631,1,192
76294,25,1,5.722768306732178,1,259
69813,25,1,5.722768306732178,1,249
88516,30,1,5.974677085876465,2,336
85791,35,1,5.292153835296631,3,202
45045,35,2,5.722768306732178,3,285
56129,30,1,5.974677085876465,2,223
33117,25,1,6.292054653167725,1,208
28440,30,1,6.292054653167725,2,193
58670,30,1,6.292054653167725,2,220
88719,35,1,5.722768306732178,3,265
61037,25,1,6.292054653167725,1,229
68554,30,2,6.153413772583008,2,180
15262,35,1,6.153413772583008,3,265
33795,30,2,6.292054653167725,2,208
76391,30,1,5.974677085876465,2,349
42049,30,1,5.722768306732178,2,350
30824,35,1,6.153413772583008,3,307
21346,30,1,5.974677085876465,2,331
84626,30,1,5.974677085876465,2,308
23424,30,1,6.292054653167725,2,188
83304,30,1,5.292153835296631,2,262
40257,30,1,6.292054653167725,2,296
88791,30,1,6.292054653167725,2,176
16328,35,1,6.292054653167725,3,347
75941,25,1,5.974677085876465,1,307
35619,25,1,5.974677085876465,1,364
14325,35,1,5.974677085876465,3,222
21887,35,1,6.292054653167725,3,189
73623,35,1,5.974677085876465,3,288
28906,30,2,5.292153835296631,2,205
38199,25,2,5.292153835296631,1,179
29378,25,2,5.292153835296631,1,253
47214,30,1,6.153413772583008,2,252
9199,30,2,5.292153835296631,2,196
21596,25,1,5.722768306732178,1,254
50614,30,1,6.292054653167725,2,336
79958,35,2,5.974677085876465,3,224
1024,40,1,5.722768306732178,4,244
2950,30,1,5.292153835296631,2,209
42103,30,1,5.292153835296631,2,183
36518,25,1,5.292153835296631,1,306
57183,35,1,6.153413772583008,3,263
14923,30,1,6.292054653167725,2,167
84448,30,1,6.292054653167725,2,229
71134,30,1,5.722768306732178,2,307
4507,35,1,6.292054653167725,3,171
82427,25,1,5.974677085876465,1,307
65309,30,1,6.153413772583008,2,264
45886,25,1,6.153413772583008,1,230
86356,40,1,5.974677085876465,4,307
14653,30,1,6.153413772583008,2,264
2821,35,1,5.722768306732178,3,279
46866,25,1,5.974677085876465,1,216
13246,30,1,5.292153835296631,2,168
8079,30,1,6.292054653167725,2,342
60744,25,1,6.153413772583008,1,307
63010,40,1,6.292054653167725,4,258
79120,30,1,5.292153835296631,2,336
12951,35,2,5.974677085876465,3,300
73140,30,1,5.292153835296631,2,252
6857,35,1,5.722768306732178,3,336
46811,40,1,6.292054653167725,4,230
797,25,1,5.722768306732178,1,288
61560,35,1,6.153413772583008,3,231
27274,35,1,5.974677085876465,3,347
9552,30,1,6.292054653167725,2,328
63438,35,1,6.153413772583008,3,288
30219,35,1,6.292054653167725,3,177
19959,35,2,5.292153835296631,3,216
77531,30,1,5.974677085876465,2,245
80931,35,1,5.974677085876465,3,223
1208,30,1,6.292054653167725,2,155
45806,40,1,6.292054653167725,4,279
19451,35,1,6.292054653167725,3,153
72312,30,1,5.974677085876465,2,209
55240,40,1,6.292054653167725,4,307
59004,35,1,6.153413772583008,3,332
67508,35,1,5.974677085876465,3,245
6746,35,1,5.722768306732178,3,295
66514,30,1,5.974677085876465,2,326
82131,50,1,6.292054653167725,4,224
21502,35,1,5.974677085876465,3,205
26827,35,1,5.974677085876465,3,306
15131,35,1,5.292153835296631,3,229
78548,30,1,6.153413772583008,2,307
82033,35,1,6.292054653167725,3,224
44222,30,1,5.722768306732178,2,239
90609,50,1,5.722768306732178,4,169
62631,30,1,6.292054653167725,2,224
63679,35,1,6.153413772583008,3,300
47786,25,1,5.974677085876465,1,225
55319,30,1,5.722768306732178,2,288
3995,30,1,6.292054653167725,2,307
27280,45,1,5.974677085876465,4,218
